degree distribution (probability density function of the degree in logarithmic bins) 
7.26923	0.172907
9.56522	0.125909
11.4444	0.0405567
13.6667	0.0333851
16.6	0.0305352
20.2857	0.017595
24.3333	0.00620729
30	0.0085161
36.25	0.00560817
45.75	0.00461648

degree distribution (degree-occurrences) 
7	0.19
8	0.07
9	0.1
10	0.13
11	0.05
12	0.04
13	0.05
14	0.02
15	0.02
16	0.05
17	0.04
18	0.01
19	0.03
20	0.01
21	0.01
22	0.02
23	0.01
24	0.01
26	0.01
28	0.01
29	0.01
30	0.01
31	0.01
32	0.01
34	0.01
37	0.03
41	0.01
46	0.01
47	0.01
49	0.01


--------------------------------------
community distribution (size-occurrences)
24	0.333333
32	0.333333
44	0.333333


--------------------------------------
mixing parameter
0.5	0.01
0.538462	0.01
0.545455	0.02
0.556944	0.1
0.571133	0.21
0.582602	0.06
0.591295	0.13
0.6	0.16
0.613093	0.09
0.624067	0.11
0.635167	0.04
0.647059	0.01
0.666667	0.02
0.684211	0.01
0.7	0.01
0.714286	0.01

--------------------------------------
