i,size,mu,method,time,modularity,conductance,jaccard
0,10000,0.4,GN_modularity,101.83949184417725,0.6026604532946876,0.6131948613045359,0.2966831699877602
1,10000,0.4,GN_modularity,91.01697158813477,0.6017411067047638,0.6121615408269372,0.29885343616037063
2,10000,0.4,GN_modularity,166.23277807235718,0.6019865207885077,0.6121475845354827,0.3005502260883307
3,10000,0.4,GN_modularity,105.03282713890076,0.6022914710997366,0.6127905773693041,0.30050797533542317
4,10000,0.4,GN_modularity,87.19587206840515,0.6016410721942874,0.6119147061590129,0.30536882998916137
5,10000,0.4,GN_modularity,87.34174299240112,0.6019932015313717,0.613010166893758,0.2818268647791168
6,10000,0.4,GN_modularity,90.12057590484619,0.6018427090937309,0.6120818006349342,0.3090375659619782
7,10000,0.4,GN_modularity,84.67247939109802,0.6023120879725826,0.61242062631346,0.3012900835721368
8,10000,0.4,GN_modularity,86.9778106212616,0.6019031408204906,0.6125179419843723,0.2875076933597757
9,10000,0.4,GN_modularity,87.07646584510803,0.6019983359317002,0.6121292025206692,0.31075844929140306
0,10000,0.5,GN_modularity,64.15522789955139,0.5039509777406843,0.5162447007443178,0.2520437071204539
1,10000,0.5,GN_modularity,66.86861515045166,0.5036965865031419,0.5166764761244305,0.2461625089094797
2,10000,0.5,GN_modularity,64.6617546081543,0.5040260208336751,0.5161697136257535,0.26211951441465425
3,10000,0.5,GN_modularity,65.54591298103333,0.5038474399797701,0.5162827086652404,0.25798092728697347
4,10000,0.5,GN_modularity,65.00466394424438,0.5038780777975514,0.5164789292869428,0.2531431234771117
5,10000,0.5,GN_modularity,63.1275691986084,0.5044329200179077,0.5179596790893412,0.23032524407102256
10000_0.5_6,ERRORException type : KeyboardInterrupt Exception message : Stack trace : ['File : /home/talyasapir2/BioNetworkClustering/YemeniteStep/yemeniteStepTesterLinux.py , Line : 78, Func.Name : run_test, Message : comms = ys.get_communities(G, splitting_func=method, randomized=RANDOMIZED, remerge=REMERGE ,relative=RELATIVE)', 'File : /home/talyasapir2/BioNetworkClustering/YemeniteStep/yemenitestep.py , Line : 408, Func.Name : get_communities, Message : louvain.run()', 'File : /home/talyasapir2/BioNetworkClustering/YemeniteStep/yemenitestep.py , Line : 41, Func.Name : run, Message : self.iterate()', 'File : /home/talyasapir2/BioNetworkClustering/YemeniteStep/yemenitestep.py , Line : 135, Func.Name : iterate, Message : self.split_communities(self.communities, community_map)', 'File : /home/talyasapir2/BioNetworkClustering/YemeniteStep/yemenitestep.py , Line : 207, Func.Name : split_communities, Message : sub_community_map = self.splitting_func(subgraph, self.tracker.m, self.tracker.degrees)', 'File : /home/talyasapir2/BioNetworkClustering/YemeniteStep/splitting_functions.py , Line : 40, Func.Name : girvanNewmanMaxModularity, Message : for comp in comps:', 'File : /home/talyasapir2/.local/lib/python3.9/site-packages/networkx/algorithms/community/centrality.py , Line : 147, Func.Name : girvan_newman, Message : yield _without_most_central_edges(g, most_valuable_edge)', 'File : /home/talyasapir2/.local/lib/python3.9/site-packages/networkx/algorithms/community/centrality.py , Line : 166, Func.Name : _without_most_central_edges, Message : edge = most_valuable_edge(G)', 'File : /home/talyasapir2/.local/lib/python3.9/site-packages/networkx/algorithms/community/centrality.py , Line : 138, Func.Name : most_valuable_edge, Message : betweenness = nx.edge_betweenness_centrality(G)', "File : <class 'networkx.utils.decorators.argmap'> compilation 17 , Line : 4, Func.Name : argmap_edge_betweenness_centrality_14, Message : import inspect", 'File : /home/talyasapir2/.local/lib/python3.9/site-packages/networkx/algorithms/centrality/betweenness.py , Line : 233, Func.Name : edge_betweenness_centrality, Message : betweenness = _accumulate_edges(betweenness, S, P, sigma, s)', 'File : /home/talyasapir2/.local/lib/python3.9/site-packages/networkx/algorithms/centrality/betweenness.py , Line : 353, Func.Name : _accumulate_edges, Message : delta[v] += c']
